_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf719ce,1176,1176,2014,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,NaN,Minor injury
6696ff4dc10ca7acadf719cf,1177,1177,2014,Unprovoked,USA,Florida,Swimming,M ,42,Laceration & puncture wounds to right foot
6696ff4dc10ca7acadf719d0,1178,1178,2014,Unprovoked,USA,Florida,Wading,M,25,Minor lacerations to left foot
6696ff4dc10ca7acadf719d1,1179,1179,2014,Watercraft,SOUTH AFRICA,NaN,Shark watching,NaN,NaN,"No injury to occupants, shark bit pontoon"
6696ff4dc10ca7acadf719d2,1180,1180,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,NaN,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT
6696ff4dc10ca7acadf719d3,1181,1181,2014,Unprovoked,USA,Florida,Surfing,M,teen,Minor puncture wounds to lower left leg
6696ff4dc10ca7acadf719d4,1182,1182,2014,Unprovoked,USA,Florida,Surfing,M,teen,Lacerations to foot
6696ff4dc10ca7acadf719d5,1183,1183,2014,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,63,FATAL
6696ff4dc10ca7acadf719d6,1184,1184,2014,Invalid,AUSTRALIA,Western Australia,Diving for lobsters,M,38,Shark bites may have been post mortem
6696ff4dc10ca7acadf719d7,1185,1185,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,66,FATAL
6696ff4dc10ca7acadf719d8,1186,1186,2014,Unprovoked,USA,Florida,Kite Surfing,M,NaN,Lacerations to left forearm
6696ff4dc10ca7acadf719d9,1187,1187,2014,Unprovoked,USA,Florida,Surfing,M,9,Lacerations to toes and heel of right foot
6696ff4dc10ca7acadf719da,1188,1188,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,Kite Surfing,M,42,Lacerations to calf
6696ff4dc10ca7acadf719db,1189,1189,2014,Unprovoked,AUSTRALIA,Victoria,Surfing,M,42,Shark leapt onto surfboard; surfer uninjured 
6696ff4dc10ca7acadf719dc,1190,1190,2014,Invalid,AUSTRALIA,New South Wales,NaN,F,10,"Injuries to wrist/hand by a mackerel, not a shark"
6696ff4dc10ca7acadf719dd,1191,1191,2014,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,NaN,Minor lacerations to foot
6696ff4dc10ca7acadf719de,1192,1192,2014,Invalid,CAYMAN ISLANDS,NaN,Scuba diving / culling lionfish,M,NaN,"Caribbean reef shark buzzed him. No injury, no attack. "
6696ff4dc10ca7acadf719df,1193,1193,2014,Unprovoked,USA,Florida,Surfing,M,21,Lacerations to toes
